0.5-7,kev,2-10,kev,1,2e20,pl,1.4,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
2-7,kev,2-10,kev,1,2e20,pl,1.4,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
1.2-2,kev,2-10,kev,1,2e20,pl,1.4,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
0.5-1.2,kev,2-10,kev,1,2e20,pl,1.4,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
0.2-0.5,kev,2-10,kev,1,2e20,pl,1.4,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
0.1-10,kev,2-10,kev,1,2e20,pl,1.4,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
0.5-7,kev,2-10,kev,1,2e20,pl,1.8,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
2-7,kev,2-10,kev,1,2e20,pl,1.8,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
1.2-2,kev,2-10,kev,1,2e20,pl,1.8,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
0.5-1.2,kev,2-10,kev,1,2e20,pl,1.8,0.0,0e00,4.974e-4,2.353e-7,1.0,5.60,3.2
